line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,hw910,hw1011,hw1112,hw1213
18,2021-01-11 19:05:29.432892900,1,3.11009,3,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,0,0,0,1656,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:04:58.172470400,1,3.20474,3,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:58.120659700,2,3.43118,3,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,0,0,-568,1694,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:29.432892900,2,3.36173,3,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,0,0,-568,1656,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:04:58.172470400,2,3.87236,3,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,0,0,-900,1694,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:58.120659700,3,4.63409,3,LJ66TSU,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,0,-727,-568,1694,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:29.432892900,3,4.65216,3,LJ66TSU,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,0,-759,-568,1656,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:04:58.172470400,3,4.64611,3,LJ66TSU,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,0,-426,-900,1694,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:58.120659700,4,4.63177,3,LJ15JZA,LJ66TSU,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,419,-727,-568,1694,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:29.432892900,4,4.69523,3,LJ15JZA,LJ66TSU,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,356,-759,-568,1656,0,0,0,0,0,0,0,0
18,2021-01-11 19:04:58.172470400,4,4.66724,3,LJ15JZA,LJ66TSU,LJ16EWH,BF67GKU,BF67GKY,0,0,0,0,0,0,0,0,355,-426,-900,1694,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:58.120659700,2,3.40673,2,BF67GKU,BF67GKY,BF67GKN,0,0,0,0,0,0,0,0,0,0,1694,541,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:29.432892900,2,3.34903,2,BF67GKU,BF67GKY,BF67GKN,0,0,0,0,0,0,0,0,0,0,1656,579,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:58.120659700,4,4.58411,2,LJ66TSU,LJ16EWH,BF67GKU,BF67GKY,BF67GKN,0,0,0,0,0,0,0,0,-727,-568,1694,541,0,0,0,0,0,0,0,0
18,2021-01-11 19:05:29.432892900,4,4.62073,2,LJ66TSU,LJ16EWH,BF67GKU,BF67GKY,BF67GKN,0,0,0,0,0,0,0,0,-759,-568,1656,579,0,0,0,0,0,0,0,0
18,2021-01-11 19:19:28.743462200,4,4.9313,2,LJ66TSU,BF67GKY,BF67GKN,BF67GMO,BF67GKU,0,0,0,0,0,0,0,0,352,689,601,-1630,0,0,0,0,0,0,0,0
18,2021-01-11 19:19:28.743462200,4,5.0816,2,LJ66TSU,BF67GKY,BF67GKN,BF67GMO,BF67GKU,0,0,0,0,0,0,0,0,463,513,577,-1684,0,0,0,0,0,0,0,0
18,2021-01-11 19:19:28.743462200,4,4.9313,2,LJ66TSU,BF67GKY,BF67GKN,BF67GMO,BF67GKU,0,0,0,0,0,0,0,0,352,689,601,-1630,0,0,0,0,0,0,0,0
18,2021-01-11 19:19:28.743462200,4,5.0816,2,LJ66TSU,BF67GKY,BF67GKN,BF67GMO,BF67GKU,0,0,0,0,0,0,0,0,463,513,577,-1684,0,0,0,0,0,0,0,0
18,2021-01-11 19:19:28.743462200,4,4.9313,2,LJ66TSU,BF67GKY,BF67GKN,BF67GMO,BF67GKU,0,0,0,0,0,0,0,0,352,689,601,-1630,0,0,0,0,0,0,0,0
18,2021-01-11 19:19:28.743462200,4,5.0816,2,LJ66TSU,BF67GKY,BF67GKN,BF67GMO,BF67GKU,0,0,0,0,0,0,0,0,463,513,577,-1684,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,4,4.17482,2,BF67GKY,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,462,739,839,-1316,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,4,4.22349,2,BF67GKY,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,462,828,750,-1316,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,4,4.17482,2,BF67GKY,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,462,739,839,-1316,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,4,4.22349,2,BF67GKY,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,462,828,750,-1316,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,4,4.17482,2,BF67GKY,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,462,739,839,-1316,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,4,4.22349,2,BF67GKY,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,462,828,750,-1316,0,0,0,0,0,0,0,0
18,2021-01-11 19:27:26.303356900,1,3.0646,2,BF67GMU,LJ66TSO,0,0,0,0,0,0,0,0,0,0,0,-823,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:26:55.929783700,1,2.91515,2,BF67GMU,LJ66TSO,0,0,0,0,0,0,0,0,0,0,0,-763,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:30:58.079141200,1,3.94385,2,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,0,0,-1176,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:30:58.079141200,2,4.1409,2,BF67GLK,BF67GKV,LJ16EWH,0,0,0,0,0,0,0,0,0,0,-1176,254,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,1,4.29256,2,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,0,0,-1316,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,1,4.29256,2,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,0,0,-1316,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,2,4.16588,2,BF67GLK,BF67GKV,LJ66TSO,0,0,0,0,0,0,0,0,0,0,-1316,840,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,3,4.92105,2,BF67GLK,BF67GKV,LJ66TSO,LJ16EWH,0,0,0,0,0,0,0,0,0,-1316,840,-586,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:30:58.079141200,2,3.83042,2,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,0,794,-1176,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,2,4.18348,2,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,0,750,-1316,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,2,4.16708,2,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,0,839,-1316,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:30:58.079141200,3,3.82892,2,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,706,794,-1176,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,3,4.21093,2,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,828,750,-1316,0,0,0,0,0,0,0,0,0
18,2021-01-11 19:29:57.737789400,3,4.16704,2,BF67GKN,BF67GMO,BF67GLK,BF67GKV,0,0,0,0,0,0,0,0,0,739,839,-1316,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:06:26.240075700,1,2.93757,4,BF67GMU,BF67GMX,0,0,0,0,0,0,0,0,0,0,0,-772,0,0,0,0,0,0,0,0,0,0,0
