,line_id,direction,lon,lat,sequence
146,18,2,-0.212512,51.527058,43
147,18,2,-0.213945,51.527287,44
148,18,2,-0.21611,51.527958,45
149,18,2,-0.216904,51.528303,46
150,18,2,-0.218186,51.5287,47
151,18,2,-0.221636,51.52931,48
152,18,2,-0.223803,51.529964,49
153,18,2,-0.225467,51.53016,50
154,18,2,-0.227601,51.530156,51
155,18,2,-0.228346,51.530284,52
156,18,2,-0.229209,51.530711,53
157,18,2,-0.230466,51.531017,54
158,18,2,-0.231404,51.531364,55
159,18,2,-0.234009,51.532582,56
160,18,2,-0.234554,51.53268,57
161,18,2,-0.236355,51.53232,58
162,18,2,-0.237326,51.532209,59
163,18,2,-0.238889,51.532412,60
164,18,2,-0.239841,51.532786,61
165,18,2,-0.244778,51.536007,62
166,18,2,-0.245235,51.536113,63
167,18,2,-0.245887,51.536042,64
168,18,2,-0.246747,51.535803,65
169,18,2,-0.247195,51.535783,66
170,18,2,-0.247477,51.535931,67
171,18,2,-0.248411,51.53679,68
172,18,2,-0.250055,51.538649,69
173,18,2,-0.250506,51.538935,70
174,18,2,-0.253099,51.539747,71
175,18,2,-0.254842,51.540546,72
176,18,2,-0.257995,51.541438,73
177,18,2,-0.258455,51.541472,74
178,18,2,-0.261497,51.541112,75
179,18,2,-0.262504,51.541172,76
180,18,2,-0.268368,51.542841,77
181,18,2,-0.26913,51.542916,78
182,18,2,-0.270232,51.543139,79
183,18,2,-0.27133,51.543838,80
184,18,2,-0.272858,51.544994,81
185,18,2,-0.273274,51.545809,82
186,18,2,-0.273761,51.546302,83
187,18,2,-0.274973,51.547039,84
188,18,2,-0.27571,51.547383,85
189,18,2,-0.28039,51.549106,86
190,18,2,-0.281362,51.549714,87
191,18,2,-0.281975,51.550298,88
192,18,2,-0.283508,51.551346,89
193,18,2,-0.285113,51.552772,90
194,18,2,-0.286191,51.553256,91
195,18,2,-0.289391,51.553707,92
196,18,2,-0.291429,51.553575,93
197,18,2,-0.293271,51.553709,94
198,18,2,-0.293634,51.553643,95
199,18,2,-0.297626,51.55219,96
200,18,2,-0.298323,51.552065,97
201,18,2,-0.29945,51.552018,98
202,18,2,-0.30195,51.552288,99
203,18,2,-0.304559,51.551931,100
204,18,2,-0.305988,51.551906,101
205,18,2,-0.307064,51.55167,102
206,18,2,-0.308525,51.551556,103
207,18,2,-0.311421,51.552047,104
208,18,2,-0.313047,51.552547,105
209,18,2,-0.313349,51.552579,106
210,18,2,-0.313495,51.552509,107
211,18,2,-0.313856,51.552505,108
212,18,2,-0.314137,51.552707,109
213,18,2,-0.314124,51.553048,110
