,id,icsId,name,lat,lon
33,490G000422,1004215,Bow Flyover,51.530316,-0.012078
34,490G000514,1006827,Altab Ali Park,51.51694,-0.067777
35,490G000596,1008189,High Street North,51.551123,0.048675
36,490G000604,1008465,Ilford Broadway,51.558379,0.070757
37,490G000747,1012217,Snow Hill,51.517832,-0.105374
38,490G000767,1012755,St Katharine Cree,51.513304,-0.07913
39,490G000793,1013541,Whitechapel Stn  / Royal London Hosp,51.516744,-0.062467
40,910GWDGRNPK,1001341,Woodgrange Park Rail Station,51.549264,0.044423
41,940GZZDLBOW,1002019,Bow Church DLR Station,51.527858,-0.020936
42,940GZZLUADE,1000004,Aldgate East Underground Station,51.515037,-0.072384
43,940GZZLUALD,1000003,Aldgate Underground Station,51.514246,-0.075689
44,940GZZLUBWR,1000029,Bow Road Underground Station,51.52694,-0.025128
45,940GZZLUMED,1000146,Mile End Underground Station,51.525122,-0.03364
46,940GZZLUSGN,1000220,Stepney Green Underground Station,51.521858,-0.046596
47,HUBBAN,1000013,Bank,51.513395,-0.089095
48,HUBSRA,1000226,Stratford,51.541508,-0.00241
14,490G00010328,1010328,North Circular Road,51.55601,0.063826
15,490G00010513,1010513,Bancroft Road / Ocean Estate,51.522232,-0.044749
17,490G00012005,1012005,Seventh Avenue,51.553636,0.055655
22,490G00013480,1013480,Litchfield Avenue,51.542337,0.004987
23,490G00014215,1014215,Stratford High St Stn  / Carpenters Rd,51.536891,-0.003659
26,490G00015079,1015079,Bishopsgate,51.513454,-0.084975
27,490G00015096,1015096,Holborn Circus,51.517535,-0.10651
32,490G000605,1008467,Ilford Hill,51.55816,0.068915
33,490G000621,1008748,King Edward Street,51.515719,-0.09984
34,490G000661,1009695,Marshgate Lane,51.531281,-0.0112
35,490G000672,1010199,New Change / Cannon Street,51.513512,-0.096257
37,490G000796,1013579,Whitechapel Stn   / Royal London Hosp,51.519417,-0.058779
38,910GCTMSLNK,1001067,City Thameslink Rail Station,51.513936,-0.10359
45,940GZZLUMSH,1000143,Mansion House Underground Station,51.512117,-0.094009
