line,datetime,dim,m_dist,anom,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
132,2021-01-19 21:13:23.933398,2,1.22113,0,0,4837,4728,4828,0,0,0,0,0,0,223,467,0,0,0,0,0,0
1,2021-01-19 21:14:17.459730,1,0.71536,0,0,8284,5450,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0
132,2021-01-19 21:14:17.603703,1,0.5931,0,0,4835,4826,0,0,0,0,0,0,0,708,0,0,0,0,0,0,0
132,2021-01-19 21:14:17.603703,1,1.16079,0,0,4837,4728,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0
132,2021-01-19 21:14:17.603703,1,0.46399,0,0,4728,4828,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0
133,2021-01-19 21:14:14.087412,1,1.69972,0,0,8312,4690,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0
133,2021-01-19 21:14:14.087412,1,1.2554,0,0,4699,4685,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0
132,2021-01-19 21:14:17.603703,2,1.14749,0,0,4837,4728,4828,0,0,0,0,0,0,265,441,0,0,0,0,0,0
1,2021-01-19 21:15:05.274621,1,0.61627,0,0,8284,5450,0,0,0,0,0,0,0,791,0,0,0,0,0,0,0
132,2021-01-19 21:15:05.986841,1,0.63665,0,0,4835,4826,0,0,0,0,0,0,0,719,0,0,0,0,0,0,0
132,2021-01-19 21:15:05.986841,1,1.15683,0,0,4837,4728,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0
132,2021-01-19 21:15:05.986841,1,0.63027,0,0,4728,4828,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0
133,2021-01-19 21:15:05.255579,1,1.71763,0,0,8312,4690,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0
133,2021-01-19 21:15:05.255579,1,1.20167,0,0,4699,4685,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0
132,2021-01-19 21:15:05.986841,2,1.29414,0,0,4837,4728,4828,0,0,0,0,0,0,266,399,0,0,0,0,0,0
1,2021-01-19 21:15:54.945600,1,0.67933,0,0,8284,5450,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0
132,2021-01-19 21:15:55.680761,1,0.6604,0,0,4835,4826,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0
132,2021-01-19 21:15:55.680761,1,1.31124,0,0,4837,4728,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0
132,2021-01-19 21:15:55.680761,1,0.57088,0,0,4728,4828,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0
133,2021-01-19 21:15:53.564030,1,1.56987,0,0,8312,4690,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0
133,2021-01-19 21:15:53.564030,1,1.25093,0,0,4699,4685,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0
132,2021-01-19 21:15:55.680761,2,1.37713,0,0,4837,4728,4828,0,0,0,0,0,0,227,414,0,0,0,0,0,0
1,2021-01-19 21:16:44.506716,1,0.74539,0,0,8284,5450,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0
1,2021-01-19 21:16:44.506716,1,0.11943,0,0,8280,8322,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0
82,2021-01-19 21:16:44.898014,1,1.15446,0,0,4836,4710,0,0,0,0,0,0,0,858,0,0,0,0,0,0,0
132,2021-01-19 21:16:45.120475,1,0.74354,0,0,4835,4826,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0
