line,destination,stop,bus,datetime,estimateArrive,DistanceBus
44,CALLAO,4514,5651,2021-01-19 21:24:17.125225,1090,3961
1,PROSPERIDAD,4514,8280,2021-01-19 21:24:17.125225,1243,887
132,MONCLOA,3280,4826,2021-01-19 21:24:16.003474,295,1473
132,MONCLOA,3280,4818,2021-01-19 21:24:16.003474,937,4227
1,CRISTO REY,716,8284,2021-01-19 21:24:19.014126,639,1157
1,CRISTO REY,716,5450,2021-01-19 21:24:19.014126,1599,4624
132,MONCLOA,1652,4818,2021-01-19 21:24:15.372443,463,1600
132,MONCLOA,1652,4825,2021-01-19 21:24:15.372443,1121,4241
132,MONCLOA,1650,4818,2021-01-19 21:24:16.564191,492,1789
132,MONCLOA,1650,4825,2021-01-19 21:24:16.564191,1214,4387
133,MIRASIERRA,5573,4695,2021-01-19 21:24:17.867315,44,156
133,MIRASIERRA,5573,4699,2021-01-19 21:24:17.867315,461,419
133,CALLAO,1612,4688,2021-01-19 21:24:15.086379,546,1983
133,CALLAO,1612,4860,2021-01-19 21:24:15.086379,1144,2117
44,CALLAO,2389,5651,2021-01-19 21:24:18.844466,953,3744
44,CALLAO,2389,5661,2021-01-19 21:24:18.844466,1819,4735
133,MIRASIERRA,1745,4690,2021-01-19 21:24:15.034061,956,5343
133,MIRASIERRA,1343,4686,2021-01-19 21:24:16.405949,174,2576
133,MIRASIERRA,1343,5490,2021-01-19 21:24:16.405949,446,4933
132,MONCLOA,1578,4826,2021-01-19 21:24:16.734343,64,200
132,MONCLOA,1578,4818,2021-01-19 21:24:16.734343,755,2854
1,CRISTO REY,4021,8280,2021-01-19 21:24:14.512570,26,156
44,MARQUES DE VIANA,4021,5654,2021-01-19 21:24:14.512570,85,422
132,HOSPITAL LA PAZ,4021,4687,2021-01-19 21:24:14.512570,290,449
82,PITIS,4021,4832,2021-01-19 21:24:14.512570,620,457
132,HOSPITAL LA PAZ,4021,4835,2021-01-19 21:24:14.512570,925,1028
44,MARQUES DE VIANA,4021,5659,2021-01-19 21:24:14.512570,997,2239
82,PITIS,4021,4705,2021-01-19 21:24:14.512570,1248,581
1,CRISTO REY,4021,8322,2021-01-19 21:24:14.512570,1347,4408
82,PITIS,3688,4832,2021-01-19 21:24:15.368335,44,146
133,MIRASIERRA,3688,5490,2021-01-19 21:24:15.368335,131,426
132,HOSPITAL LA PAZ,3688,4687,2021-01-19 21:24:15.368335,222,211
82,PITIS,3688,4705,2021-01-19 21:24:15.368335,635,318
133,MIRASIERRA,3688,4695,2021-01-19 21:24:15.368335,720,2374
132,HOSPITAL LA PAZ,3688,4835,2021-01-19 21:24:15.368335,857,750
82,PITIS,1711,5547,2021-01-19 21:24:17.378603,358,2069
133,CALLAO,23,4693,2021-01-19 21:24:17.538492,458,5261
133,CALLAO,23,4704,2021-01-19 21:24:17.538492,872,7676
133,CALLAO,737,4685,2021-01-19 21:24:18.137611,34,123
44,CALLAO,737,5655,2021-01-19 21:24:18.137611,204,663
1,PROSPERIDAD,737,8281,2021-01-19 21:24:18.137611,491,657
133,CALLAO,737,4693,2021-01-19 21:24:18.137611,808,7624
44,CALLAO,737,5651,2021-01-19 21:24:18.137611,1320,4721
1,PROSPERIDAD,737,8280,2021-01-19 21:24:18.137611,1447,1721
1,CRISTO REY,273,8284,2021-01-19 21:24:16.963943,582,997
1,CRISTO REY,273,5450,2021-01-19 21:24:16.963943,1542,4412
82,PITIS,1720,4710,2021-01-19 21:24:14.767878,371,1825
82,PITIS,1720,5547,2021-01-19 21:24:14.767878,728,3875
1,CRISTO REY,5135,8322,2021-01-19 21:24:14.777448,439,1400
1,CRISTO REY,5135,8299,2021-01-19 21:24:14.777448,1327,3807
133,CALLAO,3229,4688,2021-01-19 21:24:18.303566,479,1723
133,CALLAO,3229,4860,2021-01-19 21:24:18.303566,1079,1834
82,MONCLOA,1694,4715,2021-01-19 21:24:13.393129,257,2055
82,MONCLOA,1694,4711,2021-01-19 21:24:13.393129,483,4048
133,MIRASIERRA,1340,4686,2021-01-19 21:24:13.504474,26,282
133,MIRASIERRA,1340,5490,2021-01-19 21:24:13.504474,320,2877
82,MONCLOA,3047,4705,2021-01-19 21:24:18.591849,56,22
132,MONCLOA,3047,4835,2021-01-19 21:24:18.591849,237,428
82,MONCLOA,3047,4715,2021-01-19 21:24:18.591849,851,4947
132,MONCLOA,3047,4826,2021-01-19 21:24:18.591849,1014,4762
82,MONCLOA,1719,4706,2021-01-19 21:24:13.399541,479,2641
82,MONCLOA,1719,4718,2021-01-19 21:24:13.399541,977,4035
132,HOSPITAL LA PAZ,1372,4837,2021-01-19 21:24:17.212717,335,1293
132,HOSPITAL LA PAZ,1372,4728,2021-01-19 21:24:17.212717,381,1168
132,HOSPITAL LA PAZ,3283,8293,2021-01-19 21:24:16.591426,22,182
132,HOSPITAL LA PAZ,3283,4839,2021-01-19 21:24:16.591426,500,3398
44,CALLAO,2403,5651,2021-01-19 21:24:14.032916,46,174
44,CALLAO,2403,5661,2021-01-19 21:24:14.032916,852,967
132,MONCLOA,1644,4818,2021-01-19 21:24:18.037695,619,2577
132,MONCLOA,1367,4825,2021-01-19 21:24:16.852251,364,1540
132,MONCLOA,1367,4837,2021-01-19 21:24:16.852251,1060,4475
132,MONCLOA,1513,4818,2021-01-19 21:24:17.457683,62,239
132,MONCLOA,1513,4825,2021-01-19 21:24:17.457683,786,2853
44,MARQUES DE VIANA,1676,5657,2021-01-19 21:24:14.294888,774,2796
44,MARQUES DE VIANA,1676,5654,2021-01-19 21:24:14.294888,1159,3983
82,PITIS,1724,4710,2021-01-19 21:24:17.746317,498,2459
82,PITIS,1724,5547,2021-01-19 21:24:17.746317,855,4518
132,HOSPITAL LA PAZ,3277,4839,2021-01-19 21:24:18.552761,275,1989
132,HOSPITAL LA PAZ,3277,4687,2021-01-19 21:24:18.552761,869,3840
82,PITIS,1629,4710,2021-01-19 21:24:18.900321,713,3836
82,PITIS,1629,5547,2021-01-19 21:24:18.900321,1048,6228
44,MARQUES DE VIANA,2396,5657,2021-01-19 21:24:18.918708,559,1918
44,MARQUES DE VIANA,2396,5654,2021-01-19 21:24:18.918708,930,3090
133,CALLAO,5652,4704,2021-01-19 21:24:15.307212,379,1819
133,CALLAO,5652,4688,2021-01-19 21:24:15.307212,1003,4183
132,MONCLOA,1602,4837,2021-01-19 21:24:18.747455,541,2504
132,MONCLOA,1602,4828,2021-01-19 21:24:18.747455,1240,4500
44,CALLAO,1679,5651,2021-01-19 21:24:16.298422,99,353
44,CALLAO,1679,5661,2021-01-19 21:24:16.298422,922,1188
1,CRISTO REY,718,8284,2021-01-19 21:24:19.040730,763,1515
1,CRISTO REY,718,5450,2021-01-19 21:24:19.040730,1722,4990
133,CALLAO,1617,4704,2021-01-19 21:24:14.181786,83,412
133,CALLAO,1617,4688,2021-01-19 21:24:14.181786,679,2830
132,HOSPITAL LA PAZ,1686,4839,2021-01-19 21:24:18.558823,13,108
132,HOSPITAL LA PAZ,1686,4687,2021-01-19 21:24:18.558823,607,2040
82,PITIS,1686,4832,2021-01-19 21:24:18.558823,856,1955
82,PITIS,1686,4705,2021-01-19 21:24:18.558823,1484,2160
132,HOSPITAL LA PAZ,3281,4839,2021-01-19 21:24:13.740165,465,3103
132,HOSPITAL LA PAZ,1643,8293,2021-01-19 21:24:18.765408,300,1496
132,HOSPITAL LA PAZ,1643,4839,2021-01-19 21:24:18.765408,821,4769
132,HOSPITAL LA PAZ,1368,4837,2021-01-19 21:24:14.228453,221,735
132,HOSPITAL LA PAZ,1368,4728,2021-01-19 21:24:14.228453,233,605
82,PITIS,3391,5547,2021-01-19 21:24:18.306958,225,1297
82,PITIS,3391,4832,2021-01-19 21:24:18.306958,1347,5052
132,HOSPITAL LA PAZ,1655,4828,2021-01-19 21:24:18.408054,28,105
132,HOSPITAL LA PAZ,1655,8293,2021-01-19 21:24:18.408054,678,3163
1,CRISTO REY,733,8299,2021-01-19 21:24:15.412664,703,1911
1,CRISTO REY,733,8284,2021-01-19 21:24:15.412664,1626,4340
82,PITIS,1726,4710,2021-01-19 21:24:17.054694,522,2724
82,PITIS,1726,5547,2021-01-19 21:24:17.054694,864,5092
82,MONCLOA,5370,4715,2021-01-19 21:24:13.386580,220,1676
82,MONCLOA,5370,4711,2021-01-19 21:24:13.386580,447,3672
1,PROSPERIDAD,715,8284,2021-01-19 21:24:18.876092,90,297
1,PROSPERIDAD,715,5450,2021-01-19 21:24:18.876092,1039,3765
133,MIRASIERRA,1352,4690,2021-01-19 21:24:13.880433,4,52
133,MIRASIERRA,1352,4686,2021-01-19 21:24:13.880433,430,5160
133,CALLAO,1346,4693,2021-01-19 21:24:13.988808,235,2147
133,CALLAO,1346,4704,2021-01-19 21:24:13.988808,677,4616
132,HOSPITAL LA PAZ,1687,4839,2021-01-19 21:24:17.395773,58,370
132,HOSPITAL LA PAZ,1687,4687,2021-01-19 21:24:17.395773,652,2246
82,PITIS,1687,4832,2021-01-19 21:24:17.395773,885,2151
82,PITIS,1687,4705,2021-01-19 21:24:17.395773,1513,2323
1,CRISTO REY,722,8284,2021-01-19 21:24:17.230731,889,1869
1,CRISTO REY,722,5450,2021-01-19 21:24:17.230731,1848,5271
44,CALLAO,5098,5651,2021-01-19 21:24:14.564342,612,2331
44,CALLAO,5098,5661,2021-01-19 21:24:14.564342,1432,3248
82,PITIS,1705,5547,2021-01-19 21:24:18.977070,162,1024
82,PITIS,1705,4832,2021-01-19 21:24:18.977070,1285,4811
132,MONCLOA,1511,4825,2021-01-19 21:24:15.896260,673,2461
133,MIRASIERRA,1618,4690,2021-01-19 21:24:16.452814,448,2298
133,MIRASIERRA,1618,4686,2021-01-19 21:24:16.452814,828,6928
44,MARQUES DE VIANA,743,5654,2021-01-19 21:24:13.353662,234,742
1,CRISTO REY,743,8280,2021-01-19 21:24:13.353662,255,595
132,HOSPITAL LA PAZ,743,4687,2021-01-19 21:24:13.353662,376,797
82,PITIS,743,4832,2021-01-19 21:24:13.353662,691,748
132,HOSPITAL LA PAZ,743,4835,2021-01-19 21:24:13.353662,1083,1447
44,MARQUES DE VIANA,743,5659,2021-01-19 21:24:13.353662,1126,2737
82,PITIS,743,4705,2021-01-19 21:24:13.353662,1319,863
1,CRISTO REY,743,8322,2021-01-19 21:24:13.353662,1622,4883
44,CALLAO,1677,5651,2021-01-19 21:24:17.093436,165,739
44,CALLAO,1677,5661,2021-01-19 21:24:17.093436,989,1583
133,CALLAO,1348,4693,2021-01-19 21:24:14.083596,148,1099
133,CALLAO,1348,4704,2021-01-19 21:24:14.083596,595,3649
132,HOSPITAL LA PAZ,1653,8293,2021-01-19 21:24:14.215117,629,2989
82,PITIS,1701,5547,2021-01-19 21:24:16.140879,46,370
82,PITIS,1701,4832,2021-01-19 21:24:16.140879,1169,4232
82,MONCLOA,1717,4706,2021-01-19 21:24:18.150698,521,2766
44,CALLAO,2391,5651,2021-01-19 21:24:16.838774,921,3474
44,CALLAO,2391,5661,2021-01-19 21:24:16.838774,1742,4383
82,MONCLOA,1713,4711,2021-01-19 21:24:16.660536,80,517
82,MONCLOA,1713,4706,2021-01-19 21:24:16.660536,645,3497
82,MONCLOA,1700,4715,2021-01-19 21:24:16.473247,111,969
82,MONCLOA,1700,4711,2021-01-19 21:24:16.473247,351,2971
